latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count
22.3573,82.3028,345.09,0.4,0.37,n,2.0NRT,297.43,8.32,D,,2026-08-01 07:52:00,15987.088111894729,2479934.3433972914,8,22.35903025735294,82.30251974264706,272.0
23.16289,82.33456,295.63,0.4,0.37,n,2.0NRT,263.34,0.58,N,,2026-08-01 20:19:00,22087.035795276053,2569216.939021424,16,23.16630988372093,82.33861888081395,688.0
23.16494,82.3429,295.32,0.4,0.37,n,2.0NRT,259.84,0.96,N,,2026-08-01 20:19:00,22949.958067288157,2569416.9577760333,16,23.16630988372093,82.33861888081395,688.0
23.16558,82.33907,309.5,0.4,0.37,n,2.0NRT,259.27,0.58,N,,2026-08-01 20:19:00,22559.307851925783,2569500.5672730426,16,23.16630988372093,82.33861888081395,688.0
23.16828,82.34354,295.31,0.4,0.37,n,2.0NRT,254.62,0.59,N,,2026-08-01 20:19:00,23027.492191731348,2569785.4484598436,16,23.16630988372093,82.33861888081395,688.0
21.00937,80.87962,303.97,0.39,0.36,n,2.0NRT,289.74,1.13,N,,2026-08-01 20:21:00,-136950.22542486247,2335413.767632274,-1,21.00937,80.87962,
21.17946,81.38543,306.98,0.39,0.36,n,2.0NRT,290.86,1.7,N,,2026-08-01 20:21:00,-83510.06099972932,2352361.423017814,25,21.186994679665737,81.3881225626741,359.0
21.18277,81.38604,323.77,0.39,0.36,n,2.0NRT,292.06,1.7,N,,2026-08-01 20:21:00,-83433.45583686326,2352726.811385295,25,21.186994679665737,81.3881225626741,359.0
21.18547,81.39037,309.62,0.39,0.36,n,2.0NRT,291.01,1.15,N,,2026-08-01 20:21:00,-82971.74254790705,2353010.6856762986,25,21.186994679665737,81.3881225626741,359.0
21.18878,81.39098,312.27,0.39,0.36,n,2.0NRT,290.96,1.15,N,,2026-08-01 20:21:00,-82895.14851147716,2353376.073238206,25,21.186994679665737,81.3881225626741,359.0
21.18909,81.20028,309.08,0.39,0.36,n,2.0NRT,290.5,0.81,N,,2026-08-01 20:21:00,-102761.20134317677,2354127.8518199804,35,21.190433333333335,81.19855151515152,33.0
21.56129,81.75552,308.68,0.39,0.36,n,2.0NRT,288.46,2.0,N,,2026-08-01 20:21:00,-43546.639955583145,2393428.8623796296,36,21.55910450980392,81.75115666666667,51.0
21.62338,81.79445,308.07,0.39,0.37,n,2.0NRT,288.51,1.77,N,,2026-08-01 20:21:00,-39272.56462544587,2400185.9963855837,6,21.62271573770492,81.79295803278688,61.0
21.63124,82.11251,304.85,0.4,0.37,n,2.0NRT,285.92,0.62,N,,2026-08-01 20:21:00,-6234.856912941264,2399984.026654485,37,21.631278181818182,82.11204909090908,22.0
21.67444,82.08134,304.84,0.4,0.37,n,2.0NRT,285.07,0.76,N,,2026-08-01 20:21:00,-9316.928916875448,2404880.6697618244,7,21.673963649635038,82.07993664233577,137.0
21.73024,82.21424,309.17,0.4,0.37,n,2.0NRT,287.7,1.78,N,,2026-08-01 20:21:00,4660.063995191944,2410640.284575398,38,21.73199605633803,82.21340774647888,71.0
22.00468,82.67042,314.24,0.41,0.37,n,2.0NRT,284.48,1.63,N,,2026-08-01 20:21:00,52803.567528995685,2439684.0219500065,11,22.005290927419352,82.66923274193549,248.0
22.31705,82.53432,296.12,0.41,0.37,n,2.0NRT,263.96,0.25,N,,2026-08-01 20:21:00,39746.51701430895,2474741.079071282,13,22.31689147302905,82.5317620539419,482.0
22.31848,82.56682,298.12,0.41,0.37,n,2.0NRT,265.7,0.47,N,,2026-08-01 20:21:00,43105.596125489916,2474800.585957342,13,22.31689147302905,82.5317620539419,482.0
22.31914,82.56291,301.39,0.41,0.37,n,2.0NRT,264.62,0.57,N,,2026-08-01 20:21:00,42704.20220102975,2474885.6855562073,13,22.31689147302905,82.5317620539419,482.0
22.32185,82.56748,295.04,0.41,0.37,n,2.0NRT,264.36,0.47,N,,2026-08-01 20:21:00,43184.72022242809,2475172.407499173,13,22.31689147302905,82.5317620539419,482.0
22.32251,82.56358,295.39,0.41,0.37,n,2.0NRT,264.03,0.57,N,,2026-08-01 20:21:00,42784.36840315373,2475257.4762797114,13,22.31689147302905,82.5317620539419,482.0
22.32516,82.54797,298.63,0.41,0.37,n,2.0NRT,263.97,0.87,N,,2026-08-01 20:21:00,41181.98551636969,2475599.0019346057,13,22.31689147302905,82.5317620539419,482.0
