cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio
81,3,2025-11-13 07:41:00,2025-11-23 07:54:00,23.430126666666663,80.23687,8634.23677919021,landuse=industrial,0,1.0,3.0,4.156666666666667,2.4100069156193995,0.5797931633406734,3,0,1.0
82,5,2025-11-16 08:25:00,2025-12-03 08:07:00,23.443044,80.20560800000001,5403.318837243789,landuse=industrial,0,1.0,5.0,3.708,2.2951187333120697,0.6189640596850242,5,0,1.0
83,7,2025-11-23 07:53:00,2026-04-14 06:53:00,21.442894285714285,81.21624142857142,8218.056599526288,landuse=industrial,0,4.7,1.4893617021276595,6.055714285714286,2.5012054236764665,0.4130322709538869,7,0,1.0
84,5,2025-11-23 07:53:00,2026-04-13 07:12:00,21.741962,81.46355000000001,27058.3155762032,power=plant,0,4.666666666666667,1.0714285714285714,4.468,1.792880364106875,0.4012713438018968,5,0,1.0
85,9,2025-11-23 07:54:00,2026-04-04 20:49:00,23.44988888888889,80.23571,7532.486382925271,landuse=industrial,0,4.4,2.0454545454545454,5.5744444444444445,2.4264382905356934,0.4352789438872083,8,1,0.8888888888888888
86,10,2025-11-24 07:34:00,2026-05-25 07:25:00,21.355274,81.31679,554.073427320856,landuse=industrial,1,6.033333333333333,1.6574585635359116,15.481,17.602322100601764,1.1370274595053138,10,0,1.0
87,16,2025-11-24 20:03:00,2026-03-23 19:34:00,21.73095875,83.823019375,2149.091077447112,landuse=industrial,6,3.933333333333333,4.067796610169491,1.3025,0.787278011039726,0.6044360929287723,1,15,0.0625
88,21,2025-11-24 20:03:00,2026-03-15 20:24:00,21.98662523809524,83.36589666666666,1722.4788589374934,landuse=industrial,4,3.7,5.675675675675675,0.5976190476190476,0.1563938861306528,0.2616949489038813,0,21,0.0
89,61,2025-11-24 20:03:00,2026-05-24 20:12:00,22.336668852459017,82.55391639344262,2150.217818898526,landuse=industrial,3,6.033333333333333,10.110497237569062,1.6434426229508197,1.146453786313694,0.6975928275823974,1,60,0.01639344262295082
90,10,2025-11-25 19:44:00,2026-03-23 19:34:00,22.186504,82.121744,7051.086775069175,landuse=industrial,0,3.9,2.5641025641025643,0.478,0.0835064867739825,0.1746997631254865,0,10,0.0
